Journal,IDno,Year,Volume,Issue,ArticleTitle,FirstFemale,LastFemale,TotalFemale,TotalMale,TotalAuthors,TotalAmbiguous,Bird,anyFEM,firstFEM,lastFEM,Pfem,Pmale
AUK,22,2010,127,1,Biotic and Abiotic Factors Governing Nestling-Period Length in the Ovenbird (Seiurus aurocapilla),N,N,1,4,5,0,Y,1,0,0,0.2,0.8
AUK,23,2010,127,1,Factors that Affect Renesting in Mallards (Anas platyrhynchos),N,N,0,3,3,0,Y,0,0,0,0,1
AUK,24,2010,127,1,"Seasonal Variation in Reproductive Output of a Neotropical Temperate Suboscine, the Firewood-Gatherer (Anumbius annumbi)",N,Y,2,3,5,0,Y,1,0,1,0.4,0.6
AUK,25,2010,127,1,Recent Experimental Data on the Energy Costs of Avian Flight Call for a Revision of Optimal Migration Theory.,Y,Y,1,0,1,0,Y,1,1,1,1,0
AUK,26,2010,127,2,Diversification of Life Histories in New World Birds,N,N,2,6,8,0,Y,1,0,0,0.25,0.75
AUK,27,2010,127,2,"Community-Level Patterns of Host Use by the Brown-Headed Cowbird (Molothrus ater), a Generalist Brood Parasite",N,N,0,4,4,0,Y,0,0,0,0,1
AUK,28,2010,127,2,Geographic Variation in Songs of the Tree Pipit (Anthus trivialis) at Two Spatial Scales,Y,N,1,2,3,0,Y,1,1,0,0.333333333,0.666666667
AUK,29,2010,127,2,Human Vision can Provide a Valid Proxy for Avian Perception of Sexual Dichromatism,Y,N,1,3,4,0,Y,1,1,0,0.25,0.75
AUK,30,2010,127,2,Phenotypic Plasticity in Common Crackles (Quiscalus quiscula) in Response to Repeated Brood Parasitism,N,N,0,2,2,0,Y,0,0,0,0,1
AUK,31,2010,127,2,Extreme Levels of Multiple Mating Characterize the Mating System of the Saltmarsh Sparrow (Ammodramus caudacutus),N,N,1,2,3,0,Y,1,0,0,0.333333333,0.666666667
AUK,32,2010,127,2,Bill Morphology of Ibises Suggests a Remote-Tactile Sensory System for Prey Detection,Y,N,2,4,6,0,Y,1,1,0,0.333333333,0.666666667
AUK,33,2010,127,2,"Alteration of Habitat Structure and Food Resources by Invasive Smooth Cordgrass Affects Habitat Use by Wintering Saltmarsh Birds at Chongming Dongtan, East China",U,U,0,0,6,6,Y,0,0,0,0,0
AUK,34,2010,127,2,Nesting Success of Grassland Birds in Small Patches in an Agricultural Landscape,N,N,0,4,4,0,Y,0,0,0,0,1
AUK,35,2010,127,2,Population Genetic Studies of Mitochondrial Pseudo-Control Region in the Endangered Araripe Manakin (Antilophia bokermanni),N,N,2,7,9,0,Y,1,0,0,0.222222222,0.777777778
AUK,36,2010,127,2,Birds of a Feather Do Not Always Lek Together: Genetic Diversity and Kinship Structure of Greater Sage-Grouse (Centrocercus urophasianus) in Alberta,Y,N,3,3,6,0,Y,1,1,0,0.5,0.5
AUK,37,2010,127,2,Multiscale Postfledging Habitat Associations of Juvenile Songbirds in a Managed Landscape,N,N,0,3,3,0,Y,0,0,0,0,1
AUK,38,2010,127,2,Movements of Fledgling Ovenbirds (Seiurus aurocapilla) and Worm-Eating Warblers (Helmitheros vermivorum) within and Beyond the Natal Home Range,N,Y,1,1,2,0,Y,1,0,1,0.5,0.5
AUK,39,2010,127,2,Delayed Dispersal and Territory Acquisition in Neotropical Buff-Breasted Wrens (Thryothorus leucotis),Y,Y,2,0,2,0,Y,1,1,1,1,0
AUK,40,2010,127,2,A General Bayesian Hierarchical Model for Estimating Survival of Nests and Young,N,N,1,4,5,0,Y,1,0,0,0.2,0.8
AUK,41,2010,127,2,Traffic Effects on Bird Counts on North American Breeding Bird Survey Routes,Y,N,1,2,3,0,Y,1,1,0,0.333333333,0.666666667
AUK,42,2010,127,2,Indices of Immune Function are Lower in Red Knots (Calidris canutus) Recovering Protein than in those Storing Fat During Stopover in Delaware Bay,Y,N,2,1,3,0,Y,1,1,0,0.666666667,0.333333333
AUK,43,2010,127,2,Apparent Nest Abandonment as Evidence of Breeding-Season Mortality in Great Lakes Piping Plovers (Charadrius melodus),Y,Y,2,1,3,0,Y,1,1,1,0.666666667,0.333333333
AUK,44,2010,127,2,The Role of the Eurasian Sparrowhawk (Accipiter nisus) in the Decline of the House Sparrow (Passer domesticus) in Britain,N,N,0,5,5,0,Y,0,0,0,0,1
AUK,45,2010,127,2,Attenuated Nesting Season of the Acadian Flycatcher (Empidonax virescens) in Urban Forests,N,Y,1,1,2,0,Y,1,0,1,0.5,0.5
AUK,46,2010,127,2,"Polyphyly of Campylorhamphus, and Description of a New Genus for C. pucherani (Dendrocolaptinae)",N,N,1,4,5,0,Y,1,0,0,0.2,0.8
AUK,47,2010,127,2,Complete Mitochondrial Genome Sequences and the Phylogeny of Cranes (Gruiformes: Gruidae),N,N,0,3,3,0,Y,0,0,0,0,1
AUK,48,2010,127,2,A Blackmail Hypothesis for the Evolution of Conspicuous Egg Coloration in Birds,N,N,1,2,3,0,Y,1,0,0,0.333333333,0.666666667
AUK,49,2010,127,2,Color Blindness and Visualizing Georeferenced Data in Mapped Products: We Can Do More.,N,N,0,1,1,0,Y,0,0,0,0,1
AUK,50,2010,127,3,Spatial Ecology of Migratory Passerines on Temperate and Boreal Forest Breeding Grounds,N,N,0,2,2,0,Y,0,0,0,0,1
AUK,51,2010,127,3,Using Spatial Point-Pattern Assessment to Understand the Social and Environmental Mechanisms That Drive Avian Habitat Selection,Y,N,1,1,2,0,Y,1,1,0,0.5,0.5
AUK,52,2010,127,3,Passive Sperm Loss and Patterns of Sperm Precedence in Muscovy Ducks (Cairina moschata),Y,N,1,1,2,0,Y,1,1,0,0.5,0.5
AUK,53,2010,127,3,"Factors Influencing the At-Sea Distribution of Cassin's Auklets (Ptychoramphus aleuticus) that Breed in the Channel Islands, California",N,Y,1,3,4,0,Y,1,0,1,0.25,0.75
AUK,54,2010,127,3,Winter Territoriality and Spatial Behavior of Bicknell's Thrush (Catharus bicknelli) at Two Ecologically Distinct Sites in the Dominican Republic,N,N,0,3,3,0,Y,0,0,0,0,1
AUK,55,2010,127,3,Individual Variation of Foraging Behavior and Food Provisioning in Adélie Penguins (Pygoscelis adeliae) in a Fast-Sea-Ice Area,N,N,0,3,3,0,Y,0,0,0,0,1
AUK,56,2010,127,3,Fruit-Size Preferences in Wild and Naive Eurasian Blackbirds (Turdus merula) Feeding on Oneseed Hawthorn (Crataegus Monogyna),U,U,0,0,3,5,Y,0,0,0,0,0
AUK,57,2010,127,3,Morph-Specific Variation in Baseline Corticosterone and the Adrenocortical Response in Breeding White-Throated Sparrows (Zonotrichia albicollis),N,Y,1,1,2,0,Y,1,0,1,0.5,0.5
AUK,58,2010,127,3,Dietary Calcium Negatively Affects the Size of a Status Signal in Juvenile Male House Sparrows (Passer domesticus),N,N,0,2,2,0,Y,0,0,0,0,1
AUK,59,2010,127,3,"Why Grow Slowly in a Dangerous Place? Postnatal Growth, Thermoregulation, and Energetics of Nestling Green-Rumped Parrotlets (Forpus passerinus)",Y,N,1,2,3,0,Y,1,1,0,0.333333333,0.666666667
AUK,60,2010,127,3,Socially Induced Synchronization of Every-Other-Day Egg Laying in a Seabird Colony,Y,N,1,3,4,0,Y,1,1,0,0.25,0.75
AUK,61,2010,127,3,Road Effects on Food Availability and Energetic Intake in Florida Scrub-Jays (Aphelocoma coerulescens),Y,N,2,2,4,0,Y,1,1,0,0.5,0.5
AUK,62,2010,127,3,Homology and Evolution of Avian Compound Rhamphothecae,N,N,0,2,2,0,Y,0,0,0,0,1
AUK,63,2010,127,3,"Unidirectional Hybridization and Introgression in an Avian Contact Zone: Evidence from Genetic Markers, Morphology, and Comparisons with Laboratory-Raised F1 Hybrids",Y,N,1,2,3,0,Y,1,1,0,0.333333333,0.666666667
AUK,64,2010,127,3,Genetic Differentiation of a Subspecies of Spruce Grouse (Falcipennis canadensis) in an Endemism Hotspot,N,N,0,2,2,0,Y,0,0,0,0,1
AUK,65,2010,127,3,Bill Shape and Sexual Shape Dimorphism between Two Species of Temperate Hummingbirds: Black-Chinned Hummingbird (Archilochus alexandri) and Ruby-Throated Hummingbird (A. Colubris),Y,N,1,1,2,0,Y,1,1,0,0.5,0.5
AUK,66,2010,127,3,"An Integrative Assessment of the Effects of Tamarisk on Stopover Ecology of a Long-Distance Migrant Along the San Pedro River, Arizona",N,N,0,2,2,0,Y,0,0,0,0,1
AUK,67,2010,127,3,Migratory Behavior and Differential Resource Allocation between Wing and Tail Feathers in a Passerine Bird,N,N,0,3,3,0,Y,0,0,0,0,1
AUK,68,2010,127,3,Anthelmintics Increase Survival of American Coot (Fulica americana) Chicks,Y,N,1,1,2,0,Y,1,1,0,0.5,0.5
AUK,69,2010,127,3,Sensitivity of Nesting Great Egrets (Ardea alba) and White Ibises (Eudocimus albus) to Reduced Prey Availability,N,N,0,4,4,0,Y,0,0,0,0,1
AUK,70,2010,127,3,Sex-Related Dispersal in the Mountain Plover (Charadrius montanus),N,N,0,2,2,0,Y,0,0,0,0,1
AUK,71,2010,127,3,A New Species of Boubou (Malaconotidae: Laniarius) from the Albertine Rift,N,N,2,8,10,0,Y,1,0,0,0.2,0.8
AUK,72,2010,127,3,"The Importance, Effects, and Ethics of Bird Collecting",N,N,2,5,7,0,Y,1,0,0,0.285714286,0.714285714
AUK,73,2010,127,3,"Contribution of Declining Anadromous Fishes to the Reproductive Investment of a Common Piscivorous Seabird, the Double-Crested Cormorant (Phalacrocorax auritus)",N,N,0,4,4,0,Y,0,0,0,0,1
AUK,74,2010,127,3,A Hard Look at Blood Sampling of Birds,Y,N,1,2,3,0,Y,1,1,0,0.333333333,0.666666667
AUK,75,2010,127,4,Beak Deformities in Northwestern Crows: Evidence of a Multispecies Epizootic,Y,Y,2,0,2,0,Y,1,1,1,1,0
AUK,76,2010,127,4,Evolution of Personality: Developmental Constraints on Behavioral Flexibility,Y,Y,1,0,1,0,Y,1,1,1,1,0
AUK,77,2010,127,4,Intraclutch Variation in Egg Appearance Constrains Rejection of Brown-Headed Cowbird (Molothrus ater) Eggs in Common Grackles (Quiscalus quiscula),N,N,0,3,3,0,Y,0,0,0,0,1
AUK,78,2010,127,4,Conspecific Brood Parasitism in Common Eiders (Somateria mollissima): Do Brood Parasites Target Safe Nest Sites?,N,N,1,3,4,0,Y,1,0,0,0.25,0.75
AUK,79,2010,127,4,A Double-Clock or Jetlag Mechanism is Unlikely to be Involved in Detection of EastWest Displacements in a Long-Distance Avian Migrant,N,N,1,2,3,0,Y,1,0,0,0.333333333,0.666666667
AUK,80,2010,127,4,"Sugar Preferences of a Generalist Nonpasserine Flower Visitor, the African Speckled Mousebird (Colius striatus)",N,N,1,2,3,0,Y,1,0,0,0.333333333,0.666666667
AUK,81,2010,127,4,The Displays and Sonations of the Black-Chinned Hummingbird (Trochilidae: Archilochus alexandri),Y,N,1,1,2,0,Y,1,1,0,0.5,0.5
AUK,82,2010,127,4,Comparison of Molecular Markers in the Endangered Black-Capped Vireo (Vireo atricapilla) and Their Interpretation in Conservation,N,N,0,5,5,0,Y,0,0,0,0,1
AUK,83,2010,127,4,Subspecific Status and Population Genetic Structure of Least Terns (Sternula antillarum) Inferred by Mitochondrial DNA Control-Region Sequences and Microsatellite DNA,Y,Y,3,1,4,0,Y,1,1,1,0.75,0.25
AUK,84,2010,127,4,Complex Evolution of Bile Salts in Birds,N,N,0,4,4,0,Y,0,0,0,0,1
AUK,85,2010,127,4,The Unusual Sperm Morphology of the Eurasian Bullfinch (Pyrrhula pyrrhula) is Not Due to the Phenotypic Result of Genetic Reduction,Y,N,2,2,4,0,Y,1,1,0,0.5,0.5
AUK,86,2010,127,4,An Unreconciled Double-Observer Method for Estimating Detection Probability and Abundance,N,N,0,3,3,0,Y,0,0,0,0,1
AUK,87,2010,127,4,Protein Requirements of an Omnivorous and a Granivorous Songbird Decrease During Migration,Y,N,1,1,2,0,Y,1,1,0,0.5,0.5
AUK,88,2010,127,4,Efficacy of Migration Counts for Monitoring Continental Populations of Raptors: An Example using the Osprey (Pandion haliaetus),N,N,0,6,6,0,Y,0,0,0,0,1
AUK,89,2010,127,4,At-Sea Distribution and Behavior of Streaked Shearwaters (Calonectris leucomelas) During the Nonbreeding Period,U,N,0,1,5,4,Y,0,0,0,0,0.2
AUK,90,2010,127,4,Epizootic of Beak Deformities Among Wild Birds in Alaska: An Emerging Disease in North America?,Y,Y,6,3,9,0,Y,1,1,1,0.666666667,0.333333333
AUK,91,2010,127,4,Scale-Dependent Mechanisms of Habitat Selection for a Migratory Passerine: An Experimental Approach,Y,Y,2,0,2,0,Y,1,1,1,1,0
AUK,92,2010,127,4,Temporal Instability of Agricultural Habitat Reduces Reproductive Success of Barn Owls (Tyto alba),N,Y,2,2,4,0,Y,1,0,1,0.5,0.5
AUK,93,2010,127,4,Influence of Spring Temperatures and Individual Traits on Reproductive Timing and Success in a Migratory Woodpecker,Y,Y,2,0,2,0,Y,1,1,1,1,0
AUK,94,2010,127,4,Unusual Incubation Behavior and Embryonic Tolerance of Hypothermia by the Blood Pheasant (Ithaginis cruentus),N,N,0,3,3,0,Y,0,0,0,0,1
AUK,95,2010,127,4,Evidence for the Species Status of the Bahama Yellow-Throated Warbler (Dendroica Dominica Flavescens),N,N,0,4,4,0,Y,0,0,0,0,1
AUK,96,2010,127,4,Interpreting the Lists and Equations of Egg Dimensions in Schönwetter's Handbuch Der Oologie,N,N,0,3,3,0,Y,0,0,0,0,1
AUK,97,2010,127,4,Evaluation of the Nelson Carolina Parakeet Film,Y,N,1,2,3,0,Y,1,1,0,0.333333333,0.666666667
AUK,98,2011,128,1,The Need to Quantify Ecosystem Services Provided By Birds,N,N,1,6,7,0,Y,1,0,0,0.142857143,0.857142857
AUK,99,2011,128,1,Territoriality Versus Flocking in The Zenaida Dove (Zenaida aurita): Resource Polymorphism Revisited Using Morphological and Genetic Analyses,Y,N,1,4,5,0,Y,1,1,0,0.2,0.8
AUK,100,2011,128,1,Using an Electronic Monitoring System to Link Offspring Provisioning and Foraging Behavior of a Wild Passerine,Y,N,4,2,6,0,Y,1,1,0,0.666666667,0.333333333
AUK,101,2011,128,1,Flexibility of Foraging Behavior in Hummingbirds: The Role of Energy Constraints and Cognitive Abilities,Y,N,1,2,3,0,Y,1,1,0,0.333333333,0.666666667
AUK,102,2011,128,1,Influence of Moisture and Food Supply on the Movement Dynamics of a Nonbreeding Migratory Bird (Parkesia Noveboracensis) in a Seasonal Landscape,N,N,0,3,3,0,Y,0,0,0,0,1
AUK,103,2011,128,1,Multiple Space-Use Strategies and Their Divergent Consequences in a Nonbreeding Migratory Bird (Parkesia noveboracensis),N,N,0,3,3,0,Y,0,0,0,0,1
AUK,104,2011,128,1,Using Historical Dna to Characterize Hybridization Between Baltimore Orioles (Icterus galbula) and Bullock's Orioles (I. bullockii),N,N,1,2,3,0,Y,1,0,0,0.333333333,0.666666667
AUK,105,2011,128,1,Intense Natural Selection on Morphology of Cliff Swallows (Petrochelidon Pyrrhonota) a Decade Later: Did the Population Move between Adaptive Peaks?,Y,N,1,1,2,0,Y,1,1,0,0.5,0.5
AUK,106,2011,128,1,Sexing Birds Using Discriminant Function Analysis: A Critical Appraisal,N,N,1,2,3,0,Y,1,0,0,0.333333333,0.666666667
AUK,107,2011,128,1,Analysis of the North American Breeding Bird Survey Using Hierarchical Models,N,N,0,2,2,0,Y,0,0,0,0,1
AUK,108,2011,128,1,Weather Effects on Autumn Nocturnal Migration of Passerines on Opposite Shores of the St. Lawrence Estuary,N,N,0,6,6,0,Y,0,0,0,0,1
AUK,109,2011,128,1,Temporal Variation in Bird and Resource Abundance Across an Elevational Gradient in Hawaii,N,N,6,5,11,0,Y,1,0,0,0.545454546,0.454545455
AUK,110,2011,128,1,Contribution of Emergent Aquatic Insects to Refueling in Spring Migrant Songbirds,Y,N,1,2,3,0,Y,1,1,0,0.333333333,0.666666667
AUK,111,2011,128,1,A Galloanserine Quadrate from the Late Cretaceous Lance Formation of Wyoming,N,N,0,2,2,0,Y,0,0,0,0,1
AUK,112,2011,128,1,Short-Term Alterations in Songbird Breeding Schedule Lead to Better Synchronization with Food Availability,N,N,0,2,2,0,Y,0,0,0,0,1
AUK,113,2011,128,1,Nutrient Allocation Strategies to Eggs by Lesser Snow Geese (Chen caerulescens) at a Sub-Arctic Colony,N,N,0,5,5,0,Y,0,0,0,0,1
AUK,114,2011,128,1,Combining Stable-Isotope and Body-Composition Analyses to Assess Nutrient-Allocation Strategies in Breeding White-Winged Scoters (Melanltta fusca),N,N,0,5,5,0,Y,0,0,0,0,1
AUK,115,2011,128,1,Paternal Investment and the Sexually Selected Hypothesis for the Evolution of Eggshell Coloration: Revisiting the Assumptions,Y,Y,1,0,1,0,Y,1,1,1,1,0
AUK,116,2013,128,2,"New Discoveries in Landbird Migration using Geolocators, and a Flight Plan for the Future",Y,Y,2,1,3,0,Y,1,1,1,0.666666667,0.333333333
AUK,117,2013,128,2,Long-Distance Bird Migration within South America Revealed by Light-Level Geolocators,N,N,0,7,7,0,Y,0,0,0,0,1
AUK,118,2013,128,2,"Integrating Information from Geolocators, Weather Radar, and Citizen Science to Uncover a Key Stopover Area of an Aerial Insectivore",N,N,2,12,14,0,Y,1,0,0,0.142857143,0.857142857
AUK,119,2013,128,2,Prolonged Spring Migration in the Red-Eyed Vireo (Vireo olivaceus),N,Y,1,2,3,0,Y,1,0,1,0.333333333,0.666666667
AUK,120,2013,128,2,Migration Timing and Wintering Areas of Three Species of Flycatchers (Tyrannus) Breeding in the Great Plains of North America,N,Y,3,8,11,0,Y,1,0,1,0.272727273,0.727272727
AUK,121,2013,128,2,Migration of the Common Redstart (Phoenicurus phoenicurus): A Eurasian Songbird Wintering in Highly Seasonal Conditions in the West African Sahel,N,N,0,3,3,0,Y,0,0,0,0,1
AUK,122,2013,128,2,Using Geologgers to Investigate Bimodal Isotope Patterns in Painted Buntings (Passerina ciris),Y,N,1,4,5,0,Y,1,1,0,0.2,0.8
AUK,123,2013,128,2,Do Archival Light-Level Geolocators and Stable Hydrogen Isotopes Provide Comparable Estimates of Breeding-Ground Origin?,N,N,0,4,4,0,Y,0,0,0,0,1
AUK,124,2013,128,2,Light-Level Geolocators Reveal Strong Migratory Connectivity and Within-Winter Movements for a Coastal California Swainson's Thrush (Catharus ustulatus) Population,Y,N,2,2,4,0,Y,1,1,0,0.5,0.5
AUK,125,2013,128,2,"Consistent Range-Wide Pattern in Fall Migration Strategy of Purple Martin (Progne subis), Despite Different Migration Routes at the Gulf of Mexico",N,N,4,8,12,0,Y,1,0,0,0.333333333,0.666666667
AUK,126,2013,128,2,The Grass is Always Greener: Do Monsoon Rains Matter for Molt of the Vermilion Flycatcher (Pyrocephalus rubinus)?,N,N,0,1,1,0,Y,0,0,0,0,1
AUK,127,2013,128,2,Low Oxygen-Carrying Capacity of Blood May Increase Developmental Instability of Molt in Migrating Waders,N,N,0,4,4,0,Y,0,0,0,0,1
AUK,128,2013,128,2,Variation in Body Mass and Foraging Effort of Barrow's Goldeneyes (Bucephala islandica) During Remigial Molt,Y,N,1,2,3,0,Y,1,1,0,0.333333333,0.666666667
AUK,129,2013,128,2,The Relationship between Drinking Water and the Hydrogen and Oxygen Stable Isotope Values of Tissues in Japanese Quail (Cortunix japonica),N,N,1,3,4,0,Y,1,0,0,0.25,0.75
AUK,130,2013,128,2,"Examining Patterns in Nocturnal Seabird Activity and Recovery Across the Western Aleutian Islands, Alaska, using Automated Acoustic Recording",Y,N,2,2,4,0,Y,1,1,0,0.5,0.5
AUK,131,2013,128,2,"Phylogeography, Postglacial Gene Flow, and Population History of North American Northern Goshawks (Accipiter gentilis)",Y,N,3,2,5,0,Y,1,1,0,0.6,0.4
AUK,132,2013,128,2,"Eastern Wood-Pewee (Contopus virens) Breeding Demography Across a Gradient of Savanna, Woodland, and Forest in the Missouri Ozarks",Y,Y,2,1,3,0,Y,1,1,1,0.666666667,0.333333333
AUK,133,2013,128,2,Nest-Box Acquisition is Related to Plumage Coloration in Male and Female Prothonotary Warblers (Protonotaria citrea),Y,Y,1,0,1,0,Y,1,1,1,1,0
AUK,134,2013,128,2,High Renesting Rates in Arctic-Breeding Dunlin (Calidris alpina): A Clutch-Removal Experiment,Y,Y,2,1,3,0,Y,1,1,1,0.666666667,0.333333333
AUK,135,2013,128,2,Habitat use by Female Peregrine Falcons (Falco peregrinus) in an Agricultural Landscape,N,N,0,5,5,0,Y,0,0,0,0,1
AUK,136,2011,128,3,Soil Calcium Availability Limits Forest Songbird Productivity and Density,Y,Y,2,0,2,0,Y,1,1,1,1,0
AUK,137,2011,128,3,Estimating Migratory Connectivity of Gray Catbirds (Dumetella carolinensis) using Geolocator and MarkRecapture Data,N,N,0,3,3,0,Y,0,0,0,0,1
AUK,138,2011,128,3,"Partial Incubation in Birds: Its Occurrence, Function, and Quantification",Y,N,1,1,2,0,Y,1,1,0,0.5,0.5
AUK,139,2011,128,3,How Do Precise Adaptive Features Arise in Development? Examples with Evolution of Context-Specific Sex Ratios and Perfect Beaks,N,N,0,1,1,0,Y,0,0,0,0,1
AUK,140,2011,128,3,"Group Composition, Mating System, and Relatedness in the Communally Breeding Guira Cuckoo (Guira guira) in Central Brazil",N,N,3,2,5,0,Y,1,0,0,0.6,0.4
AUK,141,2011,128,3,Plumage Mimicry in Avian Mixed-Species Flocks: More or Less Than Meets the Eye?,N,N,0,2,2,0,Y,0,0,0,0,1
AUK,142,2011,128,3,Interspecific Aggression for Nest Sites: Model Experiments with Long-Tailed Finches (Poephila acuticauda) and Endangered Gouldian Finches (Erythrura gouldiae),N,N,1,2,3,0,Y,1,0,0,0.333333333,0.666666667
AUK,143,2011,128,3,Population Genetics of a Recent Transcontinental Colonization of South America by Breeding Barn Swallows (Hirundo rustica),N,N,1,4,5,0,Y,1,0,0,0.2,0.8
AUK,144,2011,128,3,Multistate Mark-Recapture Analysis Reveals no Effect of Blood Sampling on Survival and Recapture of Eastern Kingbirds (Tyrannus tyrannus),N,N,0,2,2,0,Y,0,0,0,0,1
AUK,145,2011,128,3,Stable Isotopes (?D) Reveal EastWest Differences in Scheduling of Molt and Migration in Northern Rough-Winged Swallows (Stelgidopteryx serripennis),N,Y,1,2,3,0,Y,1,0,1,0.333333333,0.666666667
AUK,146,2011,128,3,"Veery (Catharus fuscescens) Wintering Locations, Migratory Connectivity, and a Revision of Its Winter Range using Geolocator Technology",N,N,1,3,4,0,Y,1,0,0,0.25,0.75
AUK,147,2011,128,3,"Seasonal Movement, Residency, and Migratory Patterns of Wilson's Snipe (Gallinago delicata)",Y,Y,2,0,2,0,Y,1,1,1,1,0
AUK,148,2011,128,3,Body Size and Immune Defense of Nestling Blue Tits (Cyanistes caeruleus) in Response to Manipulation of Ectoparasites and Food Supply,N,N,2,3,5,0,Y,1,0,0,0.4,0.6
AUK,149,2011,128,3,Habitat use does not Reflect Habitat Quality for Henslow's Sparrows (Ammodramus henslowii) Wintering in Fire-Managed Longleaf Pine Savannas,N,N,1,3,4,0,Y,1,0,0,0.25,0.75
AUK,150,2011,128,3,Reproductive Success of Eastern Bluebirds (Siala sialis) on Suburban Golf Courses,Y,N,5,5,10,0,Y,1,1,0,0.5,0.5
AUK,151,2011,128,4,Maltreated Nestlings Exhibit Correlated Maltreatment as Adults: Evidence of a Cycle of Violence in Nazca Boobies (Sula granti),Y,N,4,5,9,0,Y,1,1,0,0.444444444,0.555555556
AUK,152,2011,128,4,Genetic Introgression: An Integral but Neglected Component of Speciation in Birds,N,N,0,2,2,0,Y,0,0,0,0,1
AUK,153,2011,128,4,Site Fidelity and Lifetime Territorial Consistency of Ovenbirds (Seiurus aurocapilla) in a Contiguous Forest,N,Y,2,2,4,0,Y,1,0,1,0.5,0.5
AUK,154,2011,128,4,"Energy Intake, Kleptoparasitism Risk, and Prey Choice by Glaucous-Winged Gulls (Larus glaucescens) Foraging on Sea Stars",N,N,0,2,2,0,Y,0,0,0,0,1
AUK,155,2011,128,4,Dynamic Habitat Selection by Two Wading Bird Species with Divergent Foraging Strategies in a Seasonally Fluctuating Wetland,N,N,0,4,4,0,Y,0,0,0,0,1
